datetime,temperature_100m,windspeed_100m,pressure_100m,precipitationrate_0m
2007-01-14 02:00:00,288.54486,9.237953,98646.2,0.0
2007-01-14 03:00:00,287.94977,8.783226,98635.21,0.0
2007-01-14 04:00:00,287.23563,7.446518,98588.516,0.0
2007-01-14 05:00:00,285.7799,6.817833,98567.46,0.0
2007-01-14 06:00:00,285.14206,6.3417435,98562.88,0.0
2007-01-14 07:00:00,285.17868,5.7191696,98558.305,0.0
2007-01-14 08:00:00,285.3038,4.568619,98541.83,0.0
2007-01-14 09:00:00,285.26413,6.891083,98540.91,0.0
2007-01-14 10:00:00,285.05966,6.77816,98576.62,0.0
2007-01-14 11:00:00,284.87045,6.3692093,98591.266,0.0
2007-01-14 12:00:00,284.9498,6.3753204,98592.18,0.0
2007-01-14 13:00:00,285.07492,5.960266,98601.336,0.0
2007-01-14 14:00:00,285.15732,5.624565,98609.58,0.0
2007-01-14 15:00:00,285.53577,5.554367,98593.09,0.0
2007-01-14 16:00:00,285.81348,5.636772,98556.48,0.0
2007-01-14 17:00:00,286.17053,4.60524,98524.43,0.0
2007-01-14 18:00:00,287.44012,4.6113434,98495.13,0.0
2007-01-14 19:00:00,289.14304,6.076233,98449.36,0.0
2007-01-14 20:00:00,289.30478,6.2501907,98421.89,0.0
2007-01-14 21:00:00,289.6344,5.5604706,98388.016,0.0
2007-01-14 22:00:00,289.2651,6.7873154,98404.49,0.0
2007-01-14 23:00:00,289.082,8.36512,98410.91,0.0
2007-01-15 00:00:00,288.48993,8.618423,98406.33,0.0
2007-01-15 01:00:00,288.3587,9.186073,98398.086,0.0
2007-01-15 02:00:00,288.33734,9.567551,98387.09,0.0
2007-01-15 03:00:00,288.73105,10.318306,98376.11,0.0
2007-01-15 04:00:00,288.67307,10.22065,98331.25,0.0
2007-01-15 05:00:00,288.07794,9.094513,98294.625,0.0
2007-01-15 06:00:00,287.72394,9.399704,98251.59,0.0
2007-01-15 07:00:00,287.53778,9.833061,98224.125,0.0
2007-01-15 08:00:00,286.61307,8.005005,98204.91,0.0
2007-01-15 09:00:00,286.63443,9.509567,98150.88,0.0
2007-01-15 10:00:00,287.03726,12.204353,98149.97,0.0
2007-01-15 11:00:00,287.2753,12.112793,98138.06,0.0
2007-01-15 12:00:00,286.68326,12.335579,98110.6,0.0
2007-01-15 13:00:00,286.61612,11.233864,98092.29,0.0
2007-01-15 14:00:00,286.42078,9.42717,98093.2,0.0
2007-01-15 15:00:00,286.9091,9.704887,98081.3,0.0
2007-01-15 16:00:00,287.79413,8.459732,98025.45,0.0
2007-01-15 17:00:00,288.78903,8.423111,97952.21,0.0
2007-01-15 18:00:00,289.76868,9.747612,97931.15,0.0
2007-01-15 19:00:00,290.05554,9.92157,97848.75,0.0
2007-01-15 20:00:00,290.58658,11.0660095,97821.28,0.0
2007-01-15 21:00:00,290.76053,8.758812,97774.59,0.0
2007-01-15 22:00:00,290.72086,9.933777,97775.51,0.0
2007-01-15 23:00:00,290.25085,10.046692,97791.984,0.0
2007-01-16 00:00:00,289.9762,9.93988,97773.67,0.0
2007-01-16 01:00:00,289.5398,10.846275,97748.95,0.0
2007-01-16 02:00:00,289.6222,12.5125885,97741.63,0.0
2007-01-16 03:00:00,289.1705,12.634666,97732.48,0.0
2007-01-16 04:00:00,288.63644,12.106689,97663.81,0.0
2007-01-16 05:00:00,288.14508,11.627556,97623.52,0.0
2007-01-16 06:00:00,287.3699,10.611282,97617.12,0.0
2007-01-16 07:00:00,287.20816,10.71505,97601.55,0.0
2007-01-16 08:00:00,287.022,9.533981,97589.65,0.0
2007-01-16 09:00:00,286.54895,8.239998,97583.24,0.0
2007-01-16 10:00:00,286.2163,8.175911,97631.766,0.0
2007-01-16 11:00:00,286.3109,8.658104,97675.71,0.0
2007-01-16 12:00:00,285.6792,7.8279953,97738.88,0.0
2007-01-16 13:00:00,285.09323,6.7232285,97784.664,0.0
2007-01-16 14:00:00,284.75754,5.7222214,97844.17,0.0
2007-01-16 15:00:00,284.26923,6.875824,97900.94,0.0
2007-01-16 16:00:00,283.91217,7.1688004,97911.01,0.0
2007-01-16 17:00:00,283.72906,8.124031,97941.22,0.0
2007-01-16 18:00:00,284.10748,8.484146,98018.125,0.0
2007-01-16 19:00:00,283.98236,7.968384,98035.52,0.0
2007-01-16 20:00:00,283.5185,6.6957626,98059.33,0.0
2007-01-16 21:00:00,282.606,7.583847,98162.78,0.0
2007-01-16 22:00:00,280.62534,9.115875,98257.086,0.0
2007-01-16 23:00:00,279.30997,10.605179,98390.76,0.0
2007-01-17 00:00:00,278.40356,9.201332,98507.95,0.0
2007-01-17 01:00:00,277.42087,9.37529,98670.0,0.0
2007-01-17 02:00:00,276.06586,10.110779,98776.21,0.0
2007-01-17 03:00:00,275.40665,11.093475,98876.92,0.0
2007-01-17 04:00:00,274.6559,12.552261,98897.98,0.0
2007-01-17 05:00:00,274.24695,8.944977,99003.266,0.0
2007-01-17 06:00:00,272.8492,11.124001,99042.63,0.0
2007-01-17 07:00:00,272.1015,11.50853,99154.33,0.0
2007-01-17 08:00:00,271.4484,8.819847,99208.35,0.0
2007-01-17 09:00:00,271.07913,9.082306,99230.33,0.0
2007-01-17 10:00:00,271.00284,8.829002,99305.4,0.0
2007-01-17 11:00:00,270.66104,9.671318,99343.85,0.0
2007-01-17 12:00:00,270.4535,9.491257,99405.195,0.0
2007-01-17 13:00:00,270.1819,8.459732,99457.38,0.0
2007-01-17 14:00:00,270.45654,8.255257,99531.54,0.0
2007-01-17 15:00:00,271.012,7.6357346,99550.766,0.0
2007-01-17 16:00:00,271.82074,7.0680847,99545.27,0.0
2007-01-17 17:00:00,272.69052,6.991791,99525.13,0.0
2007-01-17 18:00:00,273.51453,6.689659,99516.89,0.0
2007-01-17 19:00:00,274.1493,6.381424,99514.15,0.0
2007-01-17 20:00:00,274.4453,6.3508987,99490.34,0.0
2007-01-17 21:00:00,274.46362,6.3051224,99469.28,0.0
2007-01-17 22:00:00,274.1798,6.7445908,99487.59,0.0
2007-01-17 23:00:00,273.719,7.8279953,99511.4,0.0
2007-01-18 00:00:00,273.1849,8.829002,99537.03,0.0
2007-01-18 01:00:00,272.45856,8.719139,99563.586,0.0
2007-01-18 02:00:00,271.78107,8.120972,99573.66,0.0
2007-01-18 03:00:00,271.22867,8.725243,99557.17,0.0
2007-01-18 04:00:00,270.70987,8.432266,99515.98,0.0
2007-01-18 05:00:00,270.23987,7.81884,99464.7,0.0
2007-01-18 06:00:00,269.91333,6.558426,99430.83,0.0
2007-01-18 07:00:00,269.80957,5.7710495,99396.95,0.0
2007-01-18 08:00:00,269.83398,5.1515274,99342.94,0.0
2007-01-18 09:00:00,269.96216,4.4984283,99312.72,0.0
2007-01-18 10:00:00,270.188,3.787346,99319.13,0.0
2007-01-18 11:00:00,269.56238,4.3610916,99294.414,6.59198
2007-01-18 12:00:00,269.44638,4.3488846,99240.39,6.59198
2007-01-18 13:00:00,269.599,4.022339,99206.516,6.59198
2007-01-18 14:00:00,269.84924,3.8636398,99167.15,10.620422
2007-01-18 15:00:00,270.0598,3.7415695,99113.13,11.352905
2007-01-18 16:00:00,270.2765,3.81176,99018.83,8.789307
